tag,name,nameColor,icon,trophies,rank,club,country_code
#PYU0LL22Q,(ban) Danila,0xffa2e3fe,{'id': 28000564},42738,113,{'name': 'Goodboltun'},GN
#PYQLPUGJ0,『RZ』Ninja,0xffcb5aff,{'id': 28000569},42719,114,{'name': 'RZW |ESPORTS'},GN
#8JUPJGLJ9,GOD OF WAR,0xff1ba5f5,{'id': 28000073},42698,115,{'name': 'Afrique'},GN
#98GGPVV2,Skrepka |RTA,0xffcb5aff,{'id': 28000449},42697,116,,GN
#JC99U9J9,klan,0xffffffff,{'id': 28000228},42662,117,{'name': 'brawl rulit'},GN
#9P9Q0UUYC,UsTa,0xff1ba5f5,{'id': 28000398},42590,118,{'name': 'KDS | Esports#3'},GN
#80GCCVQ20,✨pablo✨,0xfff9775d,{'id': 28000431},42588,119,{'name': 'Team|Wortex'},GN
#P8RUJUR8G,РОСОМАХА,0xfff9c908,{'id': 28000576},42585,120,{'name': 'polar bear crew'},GN
#289Y0R2U9,Le Corbusier,0xffa8e132,{'id': 28000399},42577,121,{'name': 'Methodology'},GN
#9JYCV92QY,(блэт Дима),0xffa8e132,{'id': 28000016},42570,122,{'name': '68451'},GN
#8JRPJQRVY,☔TT|CLOWN 🤡,0xffffffff,{'id': 28000218},42506,123,{'name': 'ðøûķųŀ 🛐🎀'},GN
#29V2J08Q,DjRelmo,0xffcb5aff,{'id': 28000461},42341,124,{'name': 'NO GEMS'},GN
#9UCCYVV0Q,Samsoshenyka猫,0xffcb5aff,{'id': 28000045},42313,125,{'name': 'OP Squad🧛'},GN
#2V2G8CLV2,꧁ঔৣ☬✞𝓓𝖔𝖓✞☬ঔৣ,0xffff8afb,{'id': 28000507},42205,126,{'name': 'Bebra Squad™'},GN
#YCQU9C8V0,yonatan,0xfff9c908,{'id': 28000488},42180,127,{'name': '🇮🇱Íŝřãĕł😈'},GN
#2UV290CYR,꧁༺ ₦Ї₦ℑ₳ ƤℜɆĐ₳₮,0xff1ba5f5,{'id': 28000594},42163,128,{'name': 'GermanDucks'},GN
#2GQRC0J0V,noobson kubson,0xffa2e3fe,{'id': 28000313},42152,129,{'name': 'TEAM LUKI'},GN
#2R8UJ2LC8,zsomac,0xffcb5aff,{'id': 28000528},42147,130,{'name': 'Winnies'},GN
#98RUR9UQR,CS | Normal 🤍,0xffa2e3fe,{'id': 28000129},42096,131,{'name': 'RedZy'},GN
#UU90PYV9,GaigKa YT🔥,0xff4ddba2,{'id': 28000563},42012,132,{'name': 'BlockBasster'},GN
#98UV8LJRV,AFGC_Bunney,0xfff9c908,{'id': 28000129},42008,133,{'name': 'FAZE'},GN
#20P20LJ9G,富瓦Darkfoirr👹🔰,0xffffffff,{'id': 28000019},41988,134,,GN
#8YG20J999,✰Sнєℓℓу✰💥,0xffa2e3fe,{'id': 28000494},41981,135,{'name': 'IML🖤'},GN
#P9YPRRQLJ,ozan,0xff1ba5f5,{'id': 28000295},41963,136,{'name': 'Bla Bla 2'},GN
#RR22VJQ9,♤Aηgelᵏᶦˡˡˠᵒᵘ♤ヅ,0xffffffff,{'id': 28000139},41961,137,{'name': '<c5>SNOW☃️</c>'},GN
#9YLGGV8UC,sx/okin,0xff1ba5f5,{'id': 28000129},41914,138,{'name': 'Kotki w worku'},GN
#99C2RQPY,jvxn,0xffffffff,{'id': 28000500},41900,139,{'name': 'Merca brona 😡'},GN
#2G0L99RJR,Jakob 1.0,0xff4ddba2,{'id': 28000021},41883,140,{'name': 'Super Saiyajins'},GN
#9P9U982LJ,💀astolpho💀,0xffcb5aff,{'id': 28000569},41814,141,{'name': 'MONKEYTOWN_NL'},GN
#8R8Q2VL,аня трах машіна,0xffa2e3fe,{'id': 28000562},41797,142,{'name': '👑 Lordlar 👑'},GN
